,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
177,QTP,estimate_price_high,0,19080,5389,5373,5457,18457,72015,19182,14227,4846,4754,9093,15294,47260,18645,11050,9743,11690,48182,22079,23346,21411,9540,24459,18766,14442
178,KOS,estimate_price_low,0,0,0,0,0,15200,16948,18178,55247,36712,37817,27400,17185,21883,14577,20893,18284,18195,40050,28056,28848,27871,20144,21094,42698,30091
179,KOS,estimate_price_high,0,0,0,0,0,22800,25422,27267,82870,55068,56726,41101,25777,32824,21866,31340,27426,27292,60075,42085,43272,41806,30216,31641,64047,45137
180,ABB,estimate_price_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9429,11660,12510,15572,19985,19126,18517,16235,14742,10101
181,ABB,estimate_price_high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14144,17490,18765,23358,29978,28689,27776,24353,22113,15152
182,FTS,estimate_price_low,11520,10582,11824,10483,9479,10148,12212,12635,12682,14392,33800,16530,15237,11400,7092,6126,11177,14569,58680,41786,31073,50019,44735,49083,29357,21468
183,FTS,estimate_price_high,17280,15873,17736,15724,14218,15222,18317,18953,19023,21589,50700,24795,22856,17100,10638,9190,16766,21854,88020,62679,46609,75029,67102,73624,44035,32202
184,HT1,estimate_price_low,25705,28430,20528,18243,13119,10583,11801,11112,16465,12239,13481,12599,12071,15290,13154,12253,11775,10543,10970,12327,14328,9760,11038,11306,8345,14669
185,HT1,estimate_price_high,38557,42645,30792,27364,19678,15875,17700,16668,24697,18358,20222,18898,18107,22936,19732,18379,17663,15814,16455,18489,21491,14640,16557,16959,12518,22004
186,SGP,estimate_price_low,7393,6583,3617,7685,8777,6637,7588,3799,8055,7205,8060,7466,8226,7133,4943,4984,4832,6694,18657,19306,23942,22725,97628,28165,24965,10610
187,SGP,estimate_price_high,11090,9874,5425,11528,13165,9955,11382,5698,12083,10808,12090,11200,12340,10699,7414,7476,7247,10042,27986,28959,35913,34087,146441,42247,37447,15915
188,CII,estimate_price_low,9106,60017,32035,133287,36176,23166,25815,10767,9588,22641,10027,14678,17279,344695,44261,29501,14852,8610,7377,5925,12950,8566,174069,18358,7366,9902
189,CII,estimate_price_high,13658,90026,48052,199929,54264,34749,38723,16150,14382,33962,15041,22017,25919,517043,66391,44252,22278,12915,11065,8887,19425,12849,261103,27536,11050,14853
190,PVT,estimate_price_low,11653,11809,9626,8566,11302,11594,15545,18820,16621,14351,15847,14821,14884,15287,13529,10164,10038,9420,13707,15041,16404,16080,15829,18221,16376,24551
191,PVT,estimate_price_high,17480,17714,14439,12848,16953,17391,23319,28230,24931,21526,23771,22232,22327,22930,20294,15246,15058,14129,20560,22562,24605,24120,23744,27330,24564,36826
192,GEG,estimate_price_low,0,9617,15493,15384,12681,15622,11200,11285,14191,14138,10938,16148,27721,24402,31074,20337,15258,17534,16814,15362,15208,15341,18615,25409,18137,26042
193,GEG,estimate_price_high,0,14426,23239,23077,19021,23433,16799,16927,21286,21207,16407,24221,41581,36603,46611,30506,22886,26301,25222,23043,22812,23011,27923,38114,27206,39064
194,CMG,estimate_price_low,12503,12568,12335,13748,13821,20153,18066,14333,19871,15183,17967,30824,26950,26380,33415,33210,33206,32312,29390,27089,32866,40568,50491,48488,58044,56860
195,CMG,estimate_price_high,18754,18851,18504,20621,20730,30229,27100,21500,29807,22775,26950,46235,40425,39570,50122,49815,49810,48468,44085,40634,49300,60852,75736,72731,87067,85289
196,NT2,estimate_price_low,36801,29681,22827,22083,17298,18378,26863,20829,26006,20374,19841,19663,19602,27284,18452,18875,17882,13544,16810,14735,9689,28522,14943,21364,38908,21874
197,NT2,estimate_price_high,55202,44522,34241,33126,25947,27567,40294,31243,39009,30560,29762,29494,29404,40926,27679,28313,26823,20317,25215,22102,14534,42783,22414,32047,58362,32810
198,HDC,estimate_price_low,12977,11103,12388,12896,9892,19371,12278,17060,14918,9224,16736,10438,17069,20574,24945,24246,16924,17502,28025,40758,45724,58833,56891,68278,53146,45157
199,HDC,estimate_price_high,19466,16655,18582,19345,14839,29056,18418,25590,22376,13836,25103,15656,25603,30860,37418,36370,25386,26253,42037,61136,68587,88248,85335,102417,79720,67735
200,CRE,estimate_price_low,0,0,0,0,0,0,0,37600,36193,37109,60173,25185,25131,21977,22466,16899,16806,15542,19041,33143,33504,38142,34598,32101,24126,21167
201,CRE,estimate_price_high,0,0,0,0,0,0,0,56400,54289,55663,90259,37777,37696,32965,33698,25349,25209,23313,28561,49714,50256,57212,51897,48152,36188,31750
202,SHS,estimate_price_low,5918,4747,4204,6963,14049,19531,20507,20579,13168,13358,11575,11282,11942,8788,7308,7311,12260,11643,25638,27511,28756,40708,47103,49597,22725,18273
203,SHS,estimate_price_high,8876,7121,6305,10445,21074,29297,30760,30868,19752,20037,17362,16924,17912,13183,10962,10967,18390,17464,38457,41267,43133,61062,70654,74395,34088,27409
